"name","hint"
"haku","masked ice mirror prodigy with tragic flair"
"zabuza momochi","silent blade wielder with a heart"
"rin nohara","medical ninja turned jinchuriki martyr"
"yamato","wood-style builder and babysitter"
"kushina uzumaki","red-haired, chain-swinging mom energy"
"danzo shimura","so many eyes, so little trust"
"fugaku uchiha","head of the family... and the rebellion"
"kimimaro","skeleton dance but make it deadly"
"karin","Sasuke's fangirl with healing bites"
"utakata","bubble-blower jinchuriki of few words"
